15 1859 8759
1 226 -0.0411447 0.0606322
0 227 0.248624 0.107949
1 227 0.255914 0.0637059
0 228 0.277202 0.107566
1 228 0.284486 0.0632981
0 229 -0.0417772 0.108873
1 229 -0.0286928 0.0603021
0 230 0.0411775 0.108638
1 230 0.0526888 0.0615603
0 231 0.151065 0.109486
1 231 0.158847 0.0612863
0 232 -0.0340575 0.111224
1 232 -0.0211624 0.0622502
0 233 0.212966 0.112135
1 233 0.221012 0.0674145
0 234 -0.0262085 0.1132
1 234 -0.0137374 0.0637764
0 235 0.285441 0.115817
1 235 0.291816 0.0704808
0 236 -0.0516519 0.118207
1 236 -0.0385127 0.0702813
0 237 0.288065 0.117648
1 237 0.294967 0.0726482
0 238 0.176811 0.118716
1 238 0.184968 0.0736669
0 239 0.264912 0.118833
1 239 0.271649 0.0729209
0 240 0.00879525 0.120111
1 240 0.0200821 0.0707637
0 241 0.167644 0.12147
1 241 0.174926 0.0740041
0 242 0.211579 0.121652
1 242 0.219604 0.076532
0 243 0.297323 0.121665
1 243 0.303445 0.0759013
0 244 0.140211 0.122973
1 244 0.148826 0.0770181
0 245 0.158448 0.123764
1 245 0.16501 0.0740127
0 246 0.197614 0.128268
1 246 0.205539 0.0821529
0 247 -0.0539255 0.130671
1 247 -0.038537 0.087355
0 248 0.135712 0.131247
1 248 0.13819 0.0674032
0 249 0.21648 0.131274
1 249 0.224798 0.0861624
0 250 -0.0380124 0.133257
1 250 -0.0258253 0.0844316
0 251 -0.0634218 0.137
1 251 -0.0466046 0.0977764
0 252 -0.0553637 0.137016
1 252 -0.0393613 0.0943964
0 253 -0.0261622 0.137334
1 253 -0.0127993 0.0896792
0 254 0.316856 0.137336
1 254 0.322194 0.09046
0 255 0.173536 0.138067
1 255 0.181294 0.0906239
0 256 0.0627027 0.139233
1 256 0.0716791 0.0886535
0 257 -0.0549287 0.14223
1 257 -0.0390571 0.100964
0 258 0.160437 0.143002
1 258 0.167478 0.0947666
0 259 0.205019 0.143781
1 259 0.213263 0.0986734
0 260 -0.0316819 0.144469
1 260 -0.0183193 0.0975576
0 261 0.156672 0.144305
1 261 0.163987 0.0953239
0 262 0.193837 0.144741
1 262 0.200827 0.0986295
0 263 0.184843 0.147165
1 263 0.191571 0.0999412
0 264 0.176679 0.149496
1 264 0.184582 0.101902
0 265 0.305492 0.149391
1 265 0.310867 0.101914
0 266 0.0433219 0.150507
1 266 0.053308 0.100124
0 267 0.17158 0.151327
1 267 0.179058 0.103273
0 268 0.21387 0.150511
1 268 0.221873 0.10752
0 269 -0.0251078 0.151884
1 269 -0.0120264 0.104654
0 270 0.0924834 0.151185
1 270 0.100132 0.101357
0 271 0.161181 0.153857
1 271 0.167663 0.105428
0 272 0.15617 0.155369
1 272 0.163483 0.106384
0 273 0.200635 0.155418
1 273 0.209382 0.111225
0 274 0.0188264 0.155843
1 274 0.0291008 0.106447
0 275 0.0482814 0.156669
1 275 0.0583828 0.107553
0 276 0.0784988 0.157311
1 276 0.0878594 0.108002
0 277 0.337112 0.15736
1 277 0.341513 0.109279
0 278 -0.0510605 0.16138
1 278 -0.0362006 0.119341
0 279 0.0356254 0.162834
1 279 0.0452677 0.113257
0 280 0.316383 0.162512
1 280 0.320767 0.113515
0 281 -0.0452879 0.165406
1 281 -0.0305372 0.123417
0 282 0.0640595 0.169752
1 282 0.0735776 0.120886
0 283 0.0829198 0.1703
1 283 0.0917957 0.121102
0 284 -0.0531974 0.171966
1 284 -0.0374351 0.131379
0 285 -0.0300653 0.173286
1 285 -0.0170476 0.126757
0 286 0.0497648 0.173124
1 286 0.0599066 0.124593
0 287 -0.0486728 0.174113
1 287 -0.0329136 0.133326
0 288 0.194345 0.175834
1 288 0.203178 0.132316
0 289 0.353215 0.176733
1 289 0.357116 0.128014
0 290 0.160206 0.177245
1 290 0.167768 0.131676
0 291 -0.0202801 0.181385
1 291 -0.00918848 0.134746
0 292 -0.0351275 0.183156
1 292 -0.021109 0.141799
0 293 0.140679 0.183382
1 293 0.148881 0.138115
0 294 0.0284013 0.184386
1 294 0.040581 0.137571
0 295 -0.0445954 0.185448
1 295 -0.0291321 0.145807
0 296 0.0311967 0.185186
1 296 0.0421373 0.138036
0 297 0.0464285 0.189077
1 297 0.0566305 0.141353
0 298 0.220717 0.188938
1 298 0.231545 0.151749
0 299 0.0617553 0.190123
1 299 0.07115 0.1425
0 300 0.066198 0.190159
1 300 0.0749608 0.142568
0 301 0.0732536 0.191437
1 301 0.0828573 0.14377
0 302 0.0824771 0.192394
1 302 0.0909867 0.144949
0 303 0.0898544 0.193421
1 303 0.0985336 0.146305
0 304 0.0260969 0.196859
1 304 0.0369945 0.149623
0 305 -0.0185239 0.199678
1 305 -0.00585601 0.154415
0 306 0.0246067 0.201258
1 306 0.0354177 0.15481
0 307 0.0367656 0.203552
1 307 0.0470819 0.157273
0 308 -0.0114982 0.205166
1 308 0.000829461 0.159722
0 309 0.0480507 0.205864
1 309 0.0582652 0.158961
0 310 0.0636686 0.207889
1 310 0.0742149 0.161862
0 311 -0.00340647 0.209171
1 311 0.00878431 0.164294
0 312 0.00063708 0.211244
1 312 0.0120065 0.166075
0 313 0.0538133 0.212604
1 313 0.0636395 0.16565
0 314 0.0813912 0.212168
1 314 0.0897708 0.165636
0 315 0.16371 0.213937
1 315 0.171555 0.170766
0 316 0.182539 0.213905
1 316 0.191323 0.172699
0 317 0.0117122 0.215242
1 317 0.0230639 0.170332
0 318 -0.0206545 0.218141
1 318 -0.00792756 0.175132
0 319 0.00474499 0.219482
1 319 0.0165812 0.175183
0 320 0.0419749 0.220792
1 320 0.0527347 0.175375
0 321 0.202557 0.219935
1 321 0.213426 0.184039
0 322 0.0502017 0.224576
1 322 0.060397 0.178565
0 323 0.164266 0.225196
1 323 0.173376 0.182556
0 324 0.191686 0.225232
1 324 0.20101 0.187162
0 325 -0.00860332 0.226246
1 325 0.00448104 0.183944
0 326 0.0641367 0.228439
1 326 0.0740097 0.182067
0 327 0.158039 0.230804
1 327 0.166044 0.188275
0 328 -0.00356005 0.231808
1 328 0.00905454 0.189878
0 329 -0.0237085 0.23282
1 329 -0.0102978 0.191477
0 330 0.0511943 0.236939
1 330 0.0616604 0.19188
0 331 -0.0198688 0.238194
1 331 -0.00609888 0.197649
0 332 0.0677641 0.239597
1 332 0.0774265 0.193508
0 333 0.072994 0.239635
1 333 0.0841326 0.194502
0 334 0.342075 0.242138
1 334 0.346444 0.195654
0 335 0.0567486 0.245794
1 335 0.0669144 0.201358
0 336 0.381092 0.246379
1 336 0.384395 0.197082
0 337 0.374141 0.2496
1 337 0.377492 0.201609
0 338 -0.0034776 0.252272
1 338 0.00945684 0.211109
0 339 0.0473379 0.254306
1 339 0.0584481 0.209875
0 340 0.00862936 0.256977
1 340 0.0204367 0.214927
0 341 0.176571 0.25613
1 341 0.187065 0.2185
0 342 0.00204667 0.258823
1 342 0.0145232 0.218299
